x_left	y_left	x_right	y_right
439.000 	 104.000 	 294.091 	 110.647
440.000 	 107.000 	 295.232 	 114.274
443.000 	 109.000 	 298.562 	 117.024
452.000 	 111.000 	 306.621 	 117.800
456.000 	 112.000 	 311.422 	 118.212
365.000 	 114.000 	 218.863 	 129.613
355.000 	 115.000 	 209.582 	 131.888
369.000 	 115.000 	 223.422 	 130.793
441.000 	 115.000 	 296.781 	 124.357
452.000 	 117.000 	 306.785 	 125.230
458.000 	 118.000 	 312.950 	 126.104
361.000 	 121.000 	 214.288 	 135.301
348.000 	 200.000 	 208.404 	 220.089
344.000 	 204.000 	 202.737 	 224.645
350.000 	 205.000 	 210.123 	 225.003
347.000 	 206.000 	 207.132 	 226.136
351.000 	 207.000 	 211.790 	 227.207
343.000 	 208.000 	 201.983 	 228.733
353.000 	 208.000 	 213.306 	 228.674
348.000 	 213.000 	 209.794 	 232.413
351.000 	 218.000 	 212.108 	 238.583
366.000 	 245.000 	 227.770 	 265.577
431.000 	 247.000 	 299.354 	 261.480
433.000 	 248.000 	 302.180 	 262.381
430.000 	 249.000 	 298.392 	 264.540
362.000 	 251.000 	 226.678 	 270.274
429.000 	 251.000 	 297.318 	 266.683
432.000 	 251.000 	 301.309 	 266.486
361.000 	 253.000 	 224.567 	 272.883
363.000 	 253.000 	 225.117 	 274.057
359.000 	 254.000 	 220.755 	 274.550
357.000 	 256.000 	 218.058 	 276.628
423.000 	 257.000 	 292.226 	 272.681
428.000 	 257.000 	 296.942 	 272.172
361.000 	 258.000 	 226.257 	 277.267
419.000 	 260.000 	 288.056 	 277.305
423.000 	 261.000 	 291.440 	 278.304
347.000 	 264.000 	 210.262 	 284.631
389.000 	 265.000 	 254.447 	 286.217
403.000 	 266.000 	 270.429 	 285.360
420.000 	 266.000 	 287.921 	 283.494
424.000 	 266.000 	 291.415 	 284.140
397.000 	 268.000 	 263.343 	 288.639
399.000 	 271.000 	 266.147 	 290.740
402.000 	 271.000 	 269.888 	 289.333
418.000 	 271.000 	 285.635 	 287.596
403.000 	 274.000 	 270.998 	 292.007
409.000 	 274.000 	 276.659 	 291.892
407.000 	 276.000 	 274.611 	 294.069
377.000 	 278.000 	 243.698 	 296.659
379.000 	 280.000 	 245.982 	 298.587
382.000 	 282.000 	 249.910 	 300.105
380.000 	 283.000 	 247.702 	 300.595
396.000 	 283.000 	 265.169 	 301.746
383.000 	 284.000 	 251.618 	 301.805
400.000 	 284.000 	 269.729 	 303.051
379.000 	 285.000 	 246.464 	 303.275
395.000 	 287.000 	 264.925 	 305.299
398.000 	 287.000 	 267.922 	 305.597
389.000 	 288.000 	 258.548 	 305.995
381.000 	 291.000 	 248.702 	 311.679
385.000 	 291.000 	 253.983 	 310.702
374.000 	 292.000 	 240.741 	 313.717
382.000 	 293.000 	 249.895 	 313.695
379.000 	 294.000 	 246.102 	 315.485
370.000 	 296.000 	 235.844 	 317.250
376.000 	 296.000 	 242.893 	 317.070
396.000 	 297.000 	 266.507 	 315.258
374.000 	 299.000 	 240.385 	 321.135
396.000 	 300.000 	 265.645 	 318.943
401.000 	 304.000 	 270.607 	 323.382
403.000 	 305.000 	 272.617 	 323.904
396.000 	 309.000 	 263.161 	 330.313
416.000 	 311.000 	 286.168 	 329.957
428.000 	 319.000 	 301.120 	 334.592
425.000 	 324.000 	 297.119 	 342.023
423.000 	 325.000 	 294.244 	 344.014
424.000 	 327.000 	 295.945 	 345.818
